Date,EBH,WBH,TH,EBM,WBM,TM
2018-11-30,1025,953,1978,988,925,1913
2018-12-01,561,517,1078,663,598,1261
2018-12-02,632,589,1221,671,640,1311
2018-12-03,1043,915,1958,920,901,1821
2018-12-04,1083,1011,2094,1004,979,1983
2018-12-05,1087,1005,2092,1063,950,2013
2018-12-06,997,958,1955,982,917,1899
2018-12-07,725,714,1439,737,657,1394
2018-12-08,494,500,994,568,525,1093
2018-12-09,516,483,999,564,549,1113
2018-12-10,960,883,1843,911,855,1766
2018-12-11,979,875,1854,884,826,1710
2018-12-12,1017,894,1911,983,850,1833
2018-12-13,861,770,1631,824,726,1550
2018-12-14,730,656,1386,678,631,1309
2018-12-15,644,594,1238,719,637,1356
2018-12-16,589,571,1160,727,673,1400
2018-12-17,911,857,1768,907,856,1763
2018-12-18,947,880,1827,946,859,1805
2018-12-19,1009,983,1992,1003,944,1947
2018-12-20,990,951,1941,998,924,1922
2018-12-21,738,698,1436,778,710,1488
2018-12-22,403,448,851,550,576,1126
2018-12-23,372,367,739,514,456,970
2018-12-24,350,336,686,421,437,858
2018-12-25,147,135,282,154,155,309
2018-12-26,289,271,560,382,343,725
2018-12-27,409,402,811,484,426,910
2018-12-28,462,452,914,542,511,1053
2018-12-29,317,331,648,409,425,834
2018-12-30,298,277,575,330,308,638
2018-12-31,325,279,604,360,354,714
2019-01-01,195,191,386,245,238,483
2019-01-02,494,447,941,542,488,1030
2019-01-03,440,397,837,473,439,912
2019-01-04,673,619,1292,736,673,1409
2019-01-05,555,510,1065,629,605,1234
2019-01-06,462,390,852,557,512,1069
2019-01-07,688,597,1285,624,571,1195
2019-01-08,859,728,1587,833,718,1551
2019-01-09,819,720,1539,768,716,1484
2019-01-10,676,604,1280,665,634,1299
2019-01-11,576,494,1070,569,511,1080
2019-01-12,400,389,789,430,443,873
2019-01-13,316,290,606,391,364,755
2019-01-14,836,736,1572,771,753,1524
2019-01-15,897,840,1737,871,809,1680
2019-01-16,696,637,1333,646,613,1259
2019-01-17,692,630,1322,720,606,1326
2019-01-18,620,537,1157,610,544,1154
2019-01-19,128,133,261,131,163,294
2019-01-20,57,53,110,49,55,104
2019-01-21,205,173,378,154,157,311
2019-01-22,391,365,756,341,336,677
2019-01-23,266,252,518,261,255,516
2019-01-24,499,431,930,382,414,796
2019-01-25,454,403,857,376,383,759
2019-01-26,285,248,533,245,301,546
2019-01-27,87,94,181,55,71,126
2019-01-28,150,92,242,86,99,185
2019-01-29,48,78,126,9,5,14
2019-01-30,101,126,227,8,20,28
2019-01-31,117,108,225,5,42,47
2019-02-01,207,205,412,6,107,113
2019-02-02,268,232,500,7,102,109
2019-02-03,239,244,483,5,108,113
2019-02-04,565,465,1030,11,328,339
2019-02-05,675,607,1282,352,505,857
2019-02-06,139,135,274,95,123,218
2019-02-07,286,232,518,40,86,126
2019-02-08,319,281,600,61,248,309
2019-02-09,285,280,565,29,254,283
